lon lat x
0 -89.5 0.68
7.2 -89.5 0.63
14.4 -89.5 0.7
21.6 -89.5 0.63
28.8 -89.5 0.62
36 -89.5 0.73
43.2 -89.5 0.77
50.4 -89.5 0.76
57.6 -89.5 0.66
64.8 -89.5 0.66
72 -89.5 0.71
79.2 -89.5 0.73
86.4 -89.5 0.76
93.6 -89.5 0.68
100.8 -89.5 0.8
108 -89.5 0.75
115.2 -89.5 0.64
122.4 -89.5 0.67
129.6 -89.5 0.64
136.8 -89.5 0.7
144 -89.5 0.67
151.2 -89.5 0.79
158.4 -89.5 0.77
165.6 -89.5 0.75
172.8 -89.5 0.77
180 -89.5 0.68
187.2 -89.5 0.64
194.4 -89.5 0.62
201.6 -89.5 0.51
208.8 -89.5 0.5
216 -89.5 0.47
223.2 -89.5 0.38
230.4 -89.5 0.34
237.6 -89.5 0.46
244.8 -89.5 0.54
252 -89.5 0.46
259.2 -89.5 0.48
266.4 -89.5 0.33
273.6 -89.5 0.35
280.8 -89.5 0.42
288 -89.5 0.45
295.2 -89.5 0.37
302.4 -89.5 0.31
309.6 -89.5 0.39
316.8 -89.5 0.56
324 -89.5 0.54
331.2 -89.5 0.45
338.4 -89.5 0.46
345.6 -89.5 0.54
352.8 -89.5 0.55
0 -69.61 -0.98
7.2 -69.61 -1.06
14.4 -69.61 -1.61
21.6 -69.61 -1.55
28.8 -69.61 -0.3
36 -69.61 -0.32
43.2 -69.61 -0.29
50.4 -69.61 0.17
57.6 -69.61 0.24
64.8 -69.61 -0.11
72 -69.61 0.38
79.2 -69.61 0.79
86.4 -69.61 0.85
93.6 -69.61 0.44
100.8 -69.61 1.27
108 -69.61 1.34
115.2 -69.61 0.87
122.4 -69.61 0.3
129.6 -69.61 0.5
136.8 -69.61 0.4
144 -69.61 0.49
151.2 -69.61 0.43
158.4 -69.61 0.32
165.6 -69.61 -0.15
172.8 -69.61 0.33
180 -69.61 0.59
187.2 -69.61 0.3
194.4 -69.61 0.22
201.6 -69.61 0.44
208.8 -69.61 0.55
216 -69.61 0.34
223.2 -69.61 0.42
230.4 -69.61 0.86
237.6 -69.61 0.71
244.8 -69.61 0.63
252 -69.61 0.59
259.2 -69.61 0.73
266.4 -69.61 0.21
273.6 -69.61 0.42
280.8 -69.61 0.37
288 -69.61 0.97
295.2 -69.61 0.94
302.4 -69.61 0.64
309.6 -69.61 0.09
316.8 -69.61 -0.29
324 -69.61 -1.31
331.2 -69.61 -1.64
338.4 -69.61 -0.66
345.6 -69.61 -0.22
352.8 -69.61 -0.53
0 -49.72 0.03
7.2 -49.72 0.76
14.4 -49.72 -0.02
21.6 -49.72 0.59
28.8 -49.72 0.56
36 -49.72 0.71
43.2 -49.72 0.74
50.4 -49.72 0
57.6 -49.72 0.93
64.8 -49.72 0.17
72 -49.72 0.29
79.2 -49.72 0.19
86.4 -49.72 0.23
93.6 -49.72 1.42
100.8 -49.72 1.8
108 -49.72 0.99
115.2 -49.72 1.08
122.4 -49.72 0.25
129.6 -49.72 0.32
136.8 -49.72 0.63
144 -49.72 0.29
151.2 -49.72 0.78
158.4 -49.72 0.87
165.6 -49.72 0.34
172.8 -49.72 -0.22
180 -49.72 -0.62
187.2 -49.72 -1.02
194.4 -49.72 -0.26
201.6 -49.72 0.1
208.8 -49.72 0.54
216 -49.72 -0.28
223.2 -49.72 -0.26
230.4 -49.72 -0.1
237.6 -49.72 0.76
244.8 -49.72 1.04
252 -49.72 1.73
259.2 -49.72 1.05
266.4 -49.72 1.34
273.6 -49.72 0.77
280.8 -49.72 -0.29
288 -49.72 0.07
295.2 -49.72 0.2
302.4 -49.72 -1.04
309.6 -49.72 -0.63
316.8 -49.72 0.12
324 -49.72 -0.5
331.2 -49.72 -0.32
338.4 -49.72 0.05
345.6 -49.72 -0.06
352.8 -49.72 0.42
0 -29.83 1.48
7.2 -29.83 1.57
14.4 -29.83 1.17
21.6 -29.83 0.88
28.8 -29.83 0.6
36 -29.83 0.62
43.2 -29.83 0.17
50.4 -29.83 -0.47
57.6 -29.83 -0.54
64.8 -29.83 -0.67
72 -29.83 0.05
79.2 -29.83 0.45
86.4 -29.83 0.48
93.6 -29.83 0.66
100.8 -29.83 1.58
108 -29.83 1.06
115.2 -29.83 0.88
122.4 -29.83 0.52
129.6 -29.83 0.04
136.8 -29.83 0.59
144 -29.83 0.79
151.2 -29.83 0.82
158.4 -29.83 1.44
165.6 -29.83 0.32
172.8 -29.83 -0.13
180 -29.83 0.48
187.2 -29.83 0.59
194.4 -29.83 0.55
201.6 -29.83 0.49
208.8 -29.83 0.48
216 -29.83 -1.35
223.2 -29.83 -0.87
230.4 -29.83 -0.87
237.6 -29.83 -0.5
244.8 -29.83 -0.31
252 -29.83 -0.11
259.2 -29.83 -0.34
266.4 -29.83 0.66
273.6 -29.83 -0.42
280.8 -29.83 -0.63
288 -29.83 -0.73
295.2 -29.83 -1.85
302.4 -29.83 -1.41
309.6 -29.83 -0.53
316.8 -29.83 -0.46
324 -29.83 -1.21
331.2 -29.83 -0.91
338.4 -29.83 -0.24
345.6 -29.83 0.38
352.8 -29.83 1.22
0 -9.94 0.93
7.2 -9.94 1.11
14.4 -9.94 1.07
21.6 -9.94 1.31
28.8 -9.94 1.82
36 -9.94 0.77
43.2 -9.94 -0.22
50.4 -9.94 0.04
57.6 -9.94 0
64.8 -9.94 -0.32
72 -9.94 -0.52
79.2 -9.94 0.49
86.4 -9.94 1.36
93.6 -9.94 1.29
100.8 -9.94 0.52
108 -9.94 1.07
115.2 -9.94 0.02
122.4 -9.94 -1.11
129.6 -9.94 -0.91
136.8 -9.94 0.24
144 -9.94 -0.45
151.2 -9.94 0.29
158.4 -9.94 0.53
165.6 -9.94 0.62
172.8 -9.94 0.55
180 -9.94 1.04
187.2 -9.94 1.59
194.4 -9.94 0.7
201.6 -9.94 -0.1
208.8 -9.94 0.67
216 -9.94 -0.74
223.2 -9.94 -0.88
230.4 -9.94 -0.46
237.6 -9.94 -0.03
244.8 -9.94 0.81
252 -9.94 0.52
259.2 -9.94 -0.4
266.4 -9.94 -0.61
273.6 -9.94 -0.27
280.8 -9.94 -0.04
288 -9.94 -0.45
295.2 -9.94 -1.03
302.4 -9.94 -0.71
309.6 -9.94 -1.31
316.8 -9.94 -1.34
324 -9.94 -1.33
